faculty,country,university
FoS,Netherlands,Leiden University Medical Centre
FoS,Netherlands,Radbound University Nijmegen
FoS,Sweden,Karolinska Institute
FoS,Taiwan,Chang Gung University
FoS,USA,Colgate University
FoS,United Kingdom,University of Dundee
NUSC,China,Peking University
NUSC,Japan,Rikkyo University
NUSC,South Korea,Seoul National University
NUSC,USA,Amherst College
NUSC,USA,Smith College
NUSC,USA,Vassar College
NUSC,USA,Wellesley College
SoC,Hong Kong,Hong Kong University of Science and Technology School of Engineering
SoC,Sweden,Karolinska Institute
SoC,Sweden,Stockholm University
U-wide,Australia,Adelaide University
U-wide,Australia,Australian National University
U-wide,Australia,Monash University
U-wide,Australia,University of Melbourne
U-wide,Australia,University of New South Wales
U-wide,Australia,University of Queensland
U-wide,Australia,University of Sydney
U-wide,Australia,University of Western Australia
U-wide,Austria,University of Innsbruck
U-wide,Belgium,KU Leuven
U-wide,Belgium,University of Antwerp
U-wide,Canada,Concordia University
U-wide,Canada,Dalhousie University 
U-wide,Canada,McGill University
U-wide,Canada,McMaster University
U-wide,Canada,Queen’s University at Kingston
U-wide,Canada,Simon Fraser University
U-wide,Canada,University of Alberta
U-wide,Canada,University of British Columbia 
U-wide,Canada,University of Calgary
U-wide,Canada,University of Guelph
U-wide,Canada,University of Ottawa
U-wide,Canada,University of Toronto
U-wide,Canada,University of Victoria
U-wide,Canada,University of Waterloo
U-wide,Canada,Western University
U-wide,Canada,York University
U-wide,China,Chongqing University
U-wide,China,Fudan University
U-wide,China,Nanjing University
U-wide,China,Peking University
U-wide,China,Shanghai Jiao Tong University
U-wide,China,Tongji University
U-wide,China,Tsinghua University
U-wide,China,Xiamen University
U-wide,China,Zhejiang University
U-wide,Croatia,University of Zagreb
U-wide,Denmark,Aarhus University
U-wide,Denmark,Technical University of Denmark
U-wide,Denmark,University of Copenhagen
U-wide,Estonia,Tallinn University of Technology
U-wide,Finland,University of Helsinki
U-wide,France,CentraleSupélec
U-wide,France,INSA Lyon – National Institute of Applied Sciences of Lyon
U-wide,France,Mines ParisTech
U-wide,France,Sciences Po
U-wide,France,Télécom Paris
U-wide,France,University Grenoble Alpes
U-wide,France,University of Technology of Compiègne
U-wide,France,University of Technology of Troyes
U-wide,Germany,Free University of Berlin
U-wide,Germany,Hamburg University of Technology (TUHH)
U-wide,Germany,Humboldt University of Berlin
U-wide,Germany,Karlsruhe Institute of Technology
U-wide,Germany,LMU Munich
U-wide,Germany,RWTH Aachen University
U-wide,Germany,Technical University of Darmstadt
U-wide,Germany,Technical University of Munich
U-wide,Germany,Ulm University
U-wide,Germany,University of Bonn
U-wide,Germany,University of Freiburg
U-wide,Germany,University of Heidelberg
U-wide,Germany,University of Hohenheim
U-wide,Germany,University of Konstanz
U-wide,Germany,University of Mannheim
U-wide,Germany,University of Stuttgart
U-wide,Germany,University of Tübingen
U-wide,Hong Kong,Chinese University of Hong Kong
U-wide,Hong Kong,City University of Hong Kong
U-wide,Hong Kong,Hong Kong Polytechnic University
U-wide,Hong Kong,University of Hong Kong
U-wide,Hungary,Budapest University of Technology and Economics
U-wide,Iceland,University of Iceland
U-wide,Ireland,Trinity College Dublin
U-wide,Ireland,University College Cork
U-wide,Ireland,University College Dublin
U-wide,Italy,University of Bologna
U-wide,Japan,Institute of Science Tokyo
U-wide,Japan,Keio University
U-wide,Japan,Kyoto University
U-wide,Japan,Nagoya University
U-wide,Japan,Osaka University
U-wide,Japan,Tohoku University
U-wide,Japan,University of Tokyo
U-wide,Japan,Waseda University
U-wide,Lithuania,Vilnius University
U-wide,Mexico,Monterrey Institute of Technology and Higher Education
U-wide,Netherlands,Delft University of Technology
U-wide,Netherlands,Eindhoven University of Technology
U-wide,Netherlands,University of Amsterdam
U-wide,Netherlands,Utrecht University
U-wide,New Zealand,University of Auckland
U-wide,New Zealand,University of Canterbury
U-wide,New Zealand,University of Otago
