Region,U-wide/ Faculty,Country,University Name,Regular semester workload for full-time undergraduate students,Units,Conversion,Remarks
Americas,U-wide,USA,University of Hawaii at Manoa,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,USA,University of Illinois at Urbana Champaign,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,FASS,USA,University of Kansas,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,USA,University of Maryland,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,USA,University of Miami,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,USA,University of Michigan,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,BIZ,USA,University of Michigan Ross School of Business,15,Ross credits,1.3333333333333333,No Change by BIZ
Americas,CDE,USA,University of Minnesota,14,credits,1.4285714285714286,GRO's Info tallies with PVO's search
Americas,U-wide,USA,University of North Carolina at Chapel Hill,15,credits ,1.3333333333333333,GRO Info & FASS website Tallies
Americas,BIZ,USA,University of North Carolina at Chapel Hill Kenan-Flagler Business School,15,UNC credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,USA,University of Notre Dame,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,USA,University of Oregon (quarter exchange),22.5,credits,0.8888888888888888,GRO's Info tallies with PVO's search
Americas,U-wide,USA,University of Pennsylvania,5,course units (CU),4,GRO Info & FASS website Tallies
Americas,CDE,USA,University of Pennsylvania,5,course units,4,GRO Info & FASS website Tallies
Americas,U-wide,USA,University of Pittsburgh,15,credits ,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,USA,University of Southern California - Viterbi School of Engineering,15,credits,1.3333333333333333,GRO's Info tallies with PVO's search
Americas,U-wide,USA,University of Texas at Austin,15,credit hours,1.3333333333333333,GRO Info & FASS website Tallies
Americas,BIZ,USA,"University of Texas at Austin, McCombs School of Business",12,units,1.6666666666666667,GRO's Info tallies with PVO's search
Americas,U-wide,USA,University of Virginia,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,U-wide,USA,"University of Washington, Seattle (quarter exchange)",22.5,credits,0.8888888888888888,GRO's Info tallies with PVO's search
Americas,U-wide,USA,University of Wisconsin-Madison,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,BIZ,USA,University of Wisconsin-Madison,15,credits,1.3333333333333333,GRO Info & FASS website Tallies
Americas,CDE,USA,Vanderbilt University,15,credits,1.3333333333333333,GRO Info - Verified by PVO
Americas,NUSC,USA,Vassar College,4,credits,5,GRO Info - Verified by PVO
Americas,NUSC,USA,Wellesley College,4,credits,5,GRO Info - Verified by PVO
Asia & Australasia,U-wide,Australia,Australian National University,24,units,0.8333333333333334,GRO Info & FASS website Tallies
Asia & Australasia,BIZ,Australia,Australian National University,24,units,0.8333333333333334,GRO Info & FASS website Tallies
Asia & Australasia,FoS,Australia,La Trobe University,60,credits,0.3333333333333333,GRO Info - Verified by PVO
Asia & Australasia,U-wide,Australia,Monash University,24,credits,0.8333333333333334,GRO Info & FASS website Tallies
Asia & Australasia,BIZ,Australia,Monash University,24,credits,0.8333333333333334,GRO Info & FASS website Tallies
Asia & Australasia,BIZ,Australia,Queensland University of Technology,48,QUT Credit Points,0.4166666666666667,No Change by BIZ
Asia & Australasia,U-wide,Australia,Adelaide University,24,units,0.8333333333333334,GRO Info - Verified by PVO
Asia & Australasia,U-wide,Australia,University of Melbourne,50,points,0.4,GRO Info & FASS website Tallies
Asia & Australasia,BIZ,Australia,University of Melbourne,50,points,0.4,GRO Info & FASS website Tallies
Asia & Australasia,FoS,Australia,University of Newcastle,40,units,0.5,GRO Info - Verified by PVO
Asia & Australasia,U-wide,Australia,University of Queensland,8,units,2.5,GRO Info & FASS website Tallies
Asia & Australasia,U-wide,Australia,University of Sydney,24,cp,0.8333333333333334,GRO Info & FASS website Tallies
Asia & Australasia,U-wide,Australia,University of Western Australia,24,credits,0.8333333333333334,GRO Info & FASS website Tallies
Asia & Australasia,U-wide,Australia,University of New South Wales,24,credits,0.8333333333333334,GRO's Info tallies with PVO's search
Asia & Australasia,BIZ,Australia,University of New South Wales,24,credits,0.8333333333333334,GRO's Info tallies with PVO's search
Asia & Australasia,BIZ,China,"Chinese University of Hong Kong, Shenzhen",13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,FASS,China,"Chinese University of Hong Kong, Shenzhen",13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,NUSC,China,Peking University,13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,BIZ,China,Peking University Guanghua School of Management,13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,CDE,China,Southeast University,13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
Asia & Australasia,BIZ,China,Tsinghua University School of Economics and Management,13,credits,1.5384615384615385,"Standardizing China, Japan, South Korea and Taiwan - Open for discussion"
